Date,Cobalt,Molybdenum Oxide,Zinc,tin,Nickel
2014-01-29,13.370754385964927,10.301755980861246,0.91620701754386,10.09190536635707,6.419928070175439
2014-01-30,13.420190058479548,10.30495119617225,0.9173276582761255,10.097024871001032,6.4061201754385975
2014-01-31,13.469625730994167,10.308146411483255,0.9184482990083909,10.102144375644995,6.392312280701756
2014-02-01,13.519061403508788,10.311341626794261,0.9195689397406563,10.107263880288958,6.378504385964914
2014-02-02,13.568497076023407,10.314536842105266,0.9206895804729218,10.112383384932922,6.364696491228072
2014-02-03,13.617932748538028,10.31773205741627,0.9218102212051872,10.117502889576885,6.350888596491229
2014-02-04,13.667368421052647,10.320927272727275,0.9229308619374527,10.122622394220848,6.337080701754387
2014-02-05,13.716804093567267,10.32412248803828,0.9240515026697181,10.12774189886481,6.349354385964913
2014-02-06,13.766239766081886,10.327317703349284,0.9251721434019836,10.132861403508773,6.36162807017544
2014-02-07,13.815675438596507,10.330512918660288,0.926292784134249,10.156069824561405,6.373901754385966
2014-02-08,13.865111111111128,10.333708133971294,0.9274134248665145,10.179278245614036,6.386175438596493
2014-02-09,13.914546783625747,10.336903349282299,0.9285340655987799,10.202486666666669,6.398449122807019
2014-02-10,13.963982456140368,10.340098564593303,0.9296547063310453,10.2256950877193,6.410722807017545
2014-02-11,14.013418128654987,10.343293779904307,0.9307753470633108,10.248903508771932,6.422996491228072
2014-02-12,14.062853801169608,10.346488995215312,0.9318959877955763,10.272111929824563,6.435270175438598
2014-02-13,14.112289473684227,10.349684210526316,0.9330166285278416,10.295320350877194,6.447543859649125
2014-02-14,14.161725146198847,10.35287942583732,0.9341372692601071,10.318528771929827,6.459817543859651
2014-02-15,14.211160818713466,10.356074641148327,0.9352579099923726,10.341737192982459,6.472091228070177
2014-02-16,14.260596491228087,10.359269856459331,0.936378550724638,10.36494561403509,6.484364912280704
2014-02-17,14.252988835725695,10.362465071770336,0.9374991914569034,10.388154035087721,6.49663859649123
2014-02-18,14.245381180223301,10.36566028708134,0.9386198321891689,10.411362456140353,6.5089122807017565
2014-02-19,14.23777352472091,10.368855502392345,0.9397404729214344,10.434570877192986,6.5211859649122825
2014-02-20,14.230165869218517,10.372050717703349,0.9408611136536997,10.457779298245617,6.539596491228072
2014-02-21,14.222558213716123,10.375245933014355,0.9419817543859652,10.480987719298248,6.558007017543861
2014-02-22,14.214950558213731,10.37844114832536,0.9405398110661272,10.486064561403511,6.576417543859651
2014-02-23,14.20734290271134,10.381636363636364,0.9390978677462891,10.491141403508774,6.59482807017544
2014-02-24,14.199735247208945,10.384831578947368,0.9376559244264511,10.496218245614036,6.613238596491231
2014-02-25,14.192127591706553,10.387981148325359,0.936213981106613,10.501295087719301,6.63164912280702
2014-02-26,14.184519936204161,10.39113071770335,0.934772037786775,10.506371929824564,6.6500596491228094
2014-02-27,14.176912280701767,10.39428028708134,0.9333300944669369,10.511448771929826,6.668470175438599
2014-02-28,14.169304625199375,10.39742985645933,0.9318881511470988,10.51652561403509,6.686880701754388
2014-03-01,14.161696969696983,10.400579425837321,0.9304462078272607,10.521602456140352,6.705291228070178
2014-03-02,14.154089314194591,10.403728995215312,0.9290042645074227,10.526679298245615,6.752851754385967
2014-03-03,14.146481658692197,10.406878564593303,0.9275623211875846,10.531756140350877,6.800412280701757
2014-03-04,14.138874003189805,10.410028133971293,0.9261203778677466,10.53683298245614,6.847972807017546
2014-03-05,14.131266347687413,10.413177703349284,0.9246784345479085,10.541909824561404,6.895533333333335
2014-03-06,14.12365869218502,10.416327272727274,0.9232364912280705,10.546986666666667,6.9430938596491245
2014-03-07,14.116051036682627,10.419476842105265,0.9217945479082325,10.55206350877193,6.9906543859649135
2014-03-08,14.108443381180235,10.422626411483254,0.9203526045883944,10.557140350877193,7.006732912280703
2014-03-09,14.100835725677841,10.425775980861244,0.9189106612685564,10.55595355661882,7.022811438596492
2014-03-10,14.09322807017545,10.428925550239235,0.9174687179487183,10.554766762360446,7.038889964912282
2014-03-11,14.082928475033748,10.432075119617226,0.9160267746288803,10.553579968102074,7.054968491228071
2014-03-12,14.072628879892049,10.435224688995216,0.9145848313090422,10.5523931738437,7.071047017543861
2014-03-13,14.062329284750348,10.438374258373207,0.9131428879892041,10.551206379585327,7.08712554385965
2014-03-14,14.052029689608649,10.441523827751197,0.911700944669366,10.550019585326954,7.1032040701754395
2014-03-15,14.041730094466947,10.444673397129188,0.910259001349528,10.54883279106858,7.119282596491229
2014-03-16,14.031430499325246,10.447822966507179,0.9088170580296899,10.547645996810207,7.135361122807018
2014-03-17,14.021130904183547,10.45097253588517,0.9073751147098519,10.546459202551835,7.151439649122808
2014-03-18,14.010831309041846,10.45412210526316,0.9059331713900138,10.545272408293462,7.167518175438597
2014-03-19,14.000531713900145,10.507345263157896,0.9044912280701758,10.544085614035088,7.183596701754387
2014-03-20,13.990232118758446,10.560568421052633,0.9044912280701758,10.542898819776715,7.199675228070176
2014-03-21,13.979932523616744,10.613791578947371,0.9044912280701758,10.541712025518342,7.215753754385966
2014-03-22,13.969632928475045,10.667014736842107,0.9044912280701758,10.54052523125997,7.231832280701755
2014-03-23,13.959333333333344,10.720237894736844,0.9044912280701758,10.539338437001597,7.255459122807018
2014-03-24,13.949033738191643,10.773461052631582,0.9044912280701758,10.538151642743223,7.279085964912281
2014-03-25,13.938734143049944,10.826684210526318,0.9044912280701758,10.53696484848485,7.302712807017544
2014-03-26,13.928434547908243,10.879907368421055,0.9044912280701758,10.535778054226476,7.326339649122807
